"movieCd","movieNm","openDt","showTm","director","actors","genres","watchGradeNm","posterUrl","overview"
"20182447","클로젯","20200205","97","김광빈","하정우, 김남길, 허율, 김시아, 신현빈, 김수진, 박지아, 임현성, 강신철, 박성웅, 이도국, 이양희","Horror, Thriller","15세이상관람가","https://image.tmdb.org/t/p/w500/W2tus8EwEagKCCCPqqocHEM9F2.jpg","After moving into a new house, a young girl begins displaying strange and disturbing behavior until, one day, she disappears behind a closet. While the devastated father is left with no clue about his daughter's disappearance, an exorcist shows up to help."
"20198431","버즈 오브 프레이(할리 퀸의 황홀한 해방)","20200205","108","캐시 얀","마고 로비, 메리 엘리자베스 윈스티드, 저니 스몰렛, 로지 페레즈, 이완 맥그리거, 크리스 메시나, 엘라 제이 바스코","Action, Crime","15세이상관람가","https://image.tmdb.org/t/p/w500/h4VB6m0RwcicVEZvzftYZyKXs6K.jpg","Harley Quinn joins forces with a singer, an assassin and a police detective to help a young girl who had a hit placed on her after she stole a rare diamond from a crime lord."
"20192984","극장판 미니특공대: 공룡왕 디노","20200206","73","이영준","신용우, 엄상현, 양정화, 이소영, 전태열, 남도형, 남도형, 엄상현, 정영웅, 양정화, 양정화, 양정화, 홍진욱, 홍진욱, 정영웅, 이민규, 엄상현, 이소영, 김은아, 김은아, 김은아, 남도형, 소연, 홍진욱, 정영웅, 김은아, 정영웅, 이민규, 성완경, 성완경, 남도형, 남도형, 엄상현, 엄상현, 김은아, 김은아, 양정화, 이민규, 이민규, 홍진욱, 홍진욱, 전태열, 이소영, 소연, 문남숙","Animation","전체관람가","https://image.tmdb.org/t/p/w500/5iajovFBxADXfmUu4Kh2xk5Udq4.jpg",""
"20197390","조조 래빗","20200205","108","타이카 와이티티","스칼렛 요한슨, 로만 그리핀 데이비스, 타이카 와이티티, 토마신 맥켄지, 샘 록웰, 레벨 윌슨, 스테판 머천트, 알피 알렌","Comedy, War, Drama","12세이상관람가","https://image.tmdb.org/t/p/w500/7GsM4mtM0worCtIVeiQt28HieeN.jpg","A World War II satire that follows a lonely German boy whose world view is turned upside down when he discovers his single mother is hiding a young Jewish girl in their attic. Aided only by his idiotic imaginary friend, Adolf Hitler, Jojo must confront his blind nationalism."
"20191109","페인 앤 글로리","20200205","113","페드로 알모도바르","페넬로페 크루즈, 안토니오 반데라스","Drama","청소년관람불가","https://image.tmdb.org/t/p/w500/cMlueArJXXwZbeLpb4NhC3pxmBk.jpg","Salvador Mallo, a filmmaker in the twilight of his career, remembers his life: his mother, his lovers, the actors he worked with. The sixties in a small village in Valencia, the eighties in Madrid, the present, when he feels an immeasurable emptiness, facing his mortality, the incapability of continuing filming, the impossibility of separating creation from his own life. The need of narrating his past can be his salvation."
"20193321","정직한 후보","20200212","104","장유정","라미란, 김무열, 나문희, 윤경호, 장동주, 이서율, 송영창, 온주완, 조한철, 손종학, 조수향, 윤세아, 김용림, 안세호, 김나윤, 고규필, 이도엽, 양나영, 주민찬, 김봉만, 우미화, 전진오, 오만석, 박성준, 임영우, 박성준, 이동희, 강숙, 박정표, 김원영, 이애린, 박예슬, 박예슬, 홍승균, 안진영, 한동호, 조윤지, 유이준, 안재현, 신지우, 정용실, 김희수, 박재범, 정소용, 강충훈, 김현진, 이동원, 이하늘, 이대겸, 정경현, 김광태, 김호준, 양찬주, 손성찬, 김비비, 이은율, 신현아, 박시윤, 유성재, 홍의정, 옥주리, 황연희, 정일화, 박소윤, 김혜주, 성현미, 노덕이, 이옥봉, 이덕건, 강종성, 장건범, 남정현, 김양희, 김은지, 박소연, 이덕재, 김가윤, 김영우, 노을, 박정윤, 이윤석, 이제용, 한유리, 김규리, 김민영, 김민종, 김보라, 김재훈, 나인석, 박승민, 박주홍, 방선혜, 신창욱, 안현석, 양예원, 이건민, 이재혁, 이정구, 이지은, 전하림, 정열, 한준용, 이현송, 김형균, 허철주, 허철주, 송하균, 송하균, 송하균, 류승무, 조주한, 문규민, 안흥성, 박지현, 이서율, 황인준, 신은영, 김동욱, 강수호, 김한상, 장현정, 유현정, 이성훈, 최기상, 이종철, 김남욱, 윤서정, 안진현, 박윤영, 김동희, 이규현, 류인아, 김주아, 김정문, 김민지, 김근영, 신나리, 김하나","Comedy","12세이상관람가","https://image.tmdb.org/t/p/w500/J3ZZ8tSw2Lid3e8frpGVFmdEeQ.jpg","Sang-sook is a competent politician who captivates the public with all kinds of nice words. One day, Sang-sook visits her grandmother who lives in the isolated house. But when she returns home, she finds out that she is not able to lie anymore."
"20192240","작은 아씨들","20200212","134","그레타 거윅","시얼샤 로넌, 엠마 왓슨, 플로렌스 퓨, 엘리자 스캔런, 로라 던, 티모시 샬라메, 메릴 스트립","Drama, Family","전체관람가","https://image.tmdb.org/t/p/w500/6jbBsk4uDuSkO2Uxv5YxoPNmVVj.jpg","Four sisters come of age during the American Civil War. With their father away fighting, the family, headed by their mother, experiences tribulations, joy, and kindness from their wealthy neighbor and his high-spirited grandson."
"20184891","수퍼 소닉","20200212","98","제프 파울러","제임스 마스던, 짐 캐리, 벤 슈왈츠, 티카 섬터","Action, Science Fiction, Comedy, Family","전체관람가","https://image.tmdb.org/t/p/w500/d8Ryb8AunYAuycVKDp5HpdWPKgC.jpg","Sonic, Knuckles, and Tails reunite against a powerful new adversary, Shadow, a mysterious villain with powers unlike anything they have faced before. With their abilities outmatched in every way, Team Sonic must seek out an unlikely alliance in hopes of stopping Shadow and protecting the planet."
"20180962","지푸라기라도 잡고 싶은 짐승들","20200219","108","김용훈","전도연, 정우성, 배성우, 윤여정, 정만식, 진경, 신현빈, 정가람, 김준한, 박지환, 허동원, 배진웅, 장의돈, 권혁범, 윤태수, 이이담, 성도현, 이상경, 임호준, 엄태옥, 홍성덕, 정재훈, 성승택, 김나래, 박예림, 구인정, 정도영, 조재완, 김진만, 심소영, 김대한, 손현준, 황현, 하재열, 선율우, 황인보, 김정한, 강성호, 박정민, 장의돈, 홍택근, 윤서정, 오기환, 정선우, 김현임, 황인성, 박현준, 이요섭, 정대웅, 이순화, 현정애, 유인혜, 정지영, 김희주, 윤태수, 오혜림, 박세라, 이예린","Mystery, Thriller, Crime, Drama","청소년관람불가","https://image.tmdb.org/t/p/w500/lO4hjVBxrVtMmupGraIR3c7Jq1Q.jpg","A struggling restaurant owner, caring for his sick mom, finds a bag of cash in a sauna locker, while a customs officer gets into trouble when his girlfriend runs off with money he borrowed from a loan shark."
"20192399","1917","20200219","119","샘 멘데스","조지 맥케이, 딘-찰스 채프먼, 콜린 퍼스, 베네딕트 컴버배치, 마크 스트롱, 앤드류 스캇, 리처드 매든, 애드리안 스카보로프","War, History, Thriller, Drama","15세이상관람가","https://image.tmdb.org/t/p/w500/iZf0KyrE25z1sage4SYFLCCrMi9.jpg","At the height of the First World War, two young British soldiers must cross enemy territory and deliver a message that will stop a deadly attack on hundreds of soldiers."
